Gene,Stable_ID,Band,GCpercent,Start,End,Strand,Chromosome
ABHD11,ENSG00000106077,q11.23,59.95,73736094,73738867,-1.0,7
ABHD12B,ENSG00000131969,q22.1,42.93,50872053,50904970,1.0,14
ABHD14A,ENSG00000248487,p21.2,54.78,51971426,51981199,1.0,3
ABHD14B,ENSG00000114779,p21.2,55.05,51968510,51983409,-1.0,3
ABHD16A,ENSG00000204427,p21.33,50.29,31686955,31703356,-1.0,6
ABHD16B,ENSG00000183260,q13.33,69.89,63861498,63862988,1.0,20
ABHD17B,ENSG00000107362,q21.13,37.98,71862452,71910931,-1.0,9
ABHD18,ENSG00000164074,q28.2,39.8,127965306,128039927,1.0,4
ABI1,ENSG00000136754,p12.1,38.44,26746593,26861087,-1.0,10
ABI3,ENSG00000108798,q21.32,54.01,49210411,49223225,1.0,17
ABI3BP,ENSG00000154175,q12.2,37.02,100749156,100993515,-1.0,3
ABL1,ENSG00000097007,q34.12,44.57,130713016,130887675,1.0,9
ABLIM1,ENSG00000099204,q25.3,42.03,114431113,114768061,-1.0,10
ABLIM2,ENSG00000163995,p16.1,54.0,7965310,8158832,-1.0,4
ABLIM3,ENSG00000173210,q32,44.42,149141483,149260542,1.0,5
ABR,ENSG00000159842,p13.3,55.27,1003518,1229738,-1.0,17
ABRA,ENSG00000174429,q23.1,40.24,106759483,106770244,-1.0,8
ABRACL,ENSG00000146386,q24.1,44.13,139028745,139043302,1.0,6
ABRAXAS1,ENSG00000163322,q21.23,42.23,83459517,83523348,-1.0,4
ABRAXAS2,ENSG00000165660,q26.13,42.6,124801819,124836667,1.0,10
ABT1,ENSG00000146109,p22.2,47.72,26596953,26600739,1.0,6
ABTB1,ENSG00000114626,q21.3,60.37,127672935,127680926,1.0,3
ABTB2,ENSG00000166016,p13,47.92,34150987,34358010,-1.0,11
ACAA2,ENSG00000167315,q21.1,39.53,49782164,49813953,-1.0,18
ACACB,ENSG00000076555,q24.11,46.78,109116595,109268226,1.0,12
ACAD9,ENSG00000177646,q21.3,49.2,128879596,128916067,1.0,3
ACAD10,ENSG00000111271,q24.12,47.12,111686053,111757107,1.0,12
ACAD11,ENSG00000240303,q22.1,37.44,132558138,132660082,-1.0,3
ACADS,ENSG00000122971,q24.31,55.41,120725774,120740008,1.0,12
ACADVL,ENSG00000072778,p13.1,58.51,7217125,7225266,1.0,17
ACAP1,ENSG00000072818,p13.1,54.55,7336529,7351477,1.0,17
ACAP2,ENSG00000114331,q29,38.17,195274745,195443044,-1.0,3
ACAP3,ENSG00000131584,p36.33,67.29,1292390,1309609,-1.0,1
ACAT1,ENSG00000075239,q22.3,43.08,108116695,108147603,1.0,11
ACBD3,ENSG00000182827,q42.12,41.45,226144679,226186741,-1.0,1
ACBD7,ENSG00000176244,p13,45.19,15075475,15088776,-1.0,10
ACCS,ENSG00000110455,p11.2,49.01,44065925,44084237,1.0,11
ACD,ENSG00000102977,q22.1,62.02,67657512,67660815,-1.0,16
ACER2,ENSG00000177076,p22.1,43.41,19409009,19452505,1.0,9
ACER3,ENSG00000078124,q13.5,38.74,76860867,77026797,1.0,11
ACHE,ENSG00000087085,q22.1,64.49,100889994,100896974,-1.0,7
ACIN1,ENSG00000100813,q11.2,45.36,23058564,23095614,-1.0,14
ACKR1,ENSG00000213088,q23.2,54.48,159203307,159206500,1.0,1
ACKR2,ENSG00000144648,p22.1,44.24,42804752,42887974,1.0,3
ACKR4,ENSG00000129048,q22.1,37.17,132597270,132618967,1.0,3
ACO1,ENSG00000122729,p21.1,41.71,32384603,32454769,1.0,9
ACO2,ENSG00000100412,q13.2,50.27,41469117,41528989,1.0,22
ACOD1,ENSG00000102794,q22.3,43.54,76948511,76958638,1.0,13
ACOT1,ENSG00000184227,q24.3,49.34,73537143,73543796,1.0,14
ACOT2,ENSG00000119673,q24.3,48.61,73567620,73575658,1.0,14
ACOT4,ENSG00000177465,q24.3,48.17,73591706,73596496,1.0,14
ACOT6,ENSG00000205669,q24.3,47.45,73610945,73619888,1.0,14
ACOT7,ENSG00000097021,p36.31,54.0,6264269,6394391,-1.0,1
ACOT8,ENSG00000101473,q13.12,49.07,45841721,45857405,-1.0,20
ACOT9,ENSG00000123130,p22.11,44.6,23701055,23766475,-1.0,X
ACOT11,ENSG00000162390,p32.3,51.2,54542257,54639192,1.0,1
ACOT12,ENSG00000172497,q14.1,40.73,81329996,81394179,-1.0,5
ACOT13,ENSG00000112304,p22.3,41.43,24667035,24705065,1.0,6
ACOX1,ENSG00000161533,q25.1,44.18,75941507,75979177,-1.0,17
ACOX2,ENSG00000168306,p14.3,47.21,58505136,58537283,-1.0,3
ACP1,ENSG00000143727,p25.3,42.67,264140,278283,1.0,2
ACP2,ENSG00000134575,p11.2,52.75,47239302,47248906,-1.0,11
ACP5,ENSG00000102575,p13.2,58.59,11574660,11579008,-1.0,19
ACP6,ENSG00000162836,q21.2,43.65,147629652,147670524,-1.0,1
ACP7,ENSG00000183760,q13.2,49.67,39083913,39111493,1.0,19
ACRBP,ENSG00000111644,p13.31,51.64,6638075,6647433,-1.0,12
ACRV1,ENSG00000134940,q24.2,41.85,125671522,125680874,-1.0,11
ACSF2,ENSG00000167107,q21.33,49.96,50426158,50474845,1.0,17
ACSL1,ENSG00000151726,q35.1,44.71,184755595,184826818,-1.0,4
ACSL3,ENSG00000123983,q36.1,39.46,222860942,222944639,1.0,2
ACSL4,ENSG00000068366,q23,39.16,109624244,109733403,-1.0,X
ACSL5,ENSG00000197142,q25.2,42.89,112374018,112428380,1.0,10
ACSM1,ENSG00000166743,p12.3,40.48,20623237,20698890,-1.0,16
ACSM2A,ENSG00000183747,p12.3,40.51,20451461,20487669,1.0,16
ACSM2B,ENSG00000066813,p12.3,39.17,20536226,20576427,-1.0,16
ACSM3,ENSG00000005187,p12.3,41.08,20610243,20797581,1.0,16
ACSM5,ENSG00000183549,p12.3,42.36,20409534,20441336,1.0,16
ACSM6,ENSG00000173124,q23.33,39.78,95194200,95228928,1.0,10
ACSS1,ENSG00000154930,p11.21,52.0,25006230,25058980,-1.0,20
ACSS2,ENSG00000131069,q11.22,45.42,34872146,34927962,1.0,20
ACSS3,ENSG00000111058,q21.31,35.63,80936414,81261210,1.0,12
ACTA1,ENSG00000143632,q42.13,62.54,229431245,229434098,-1.0,1
ACTA2,ENSG00000107796,q23.31,40.29,88935074,88991339,-1.0,10
ACTBL2,ENSG00000169067,q11.2,40.23,57480018,57482811,-1.0,5
ACTC1,ENSG00000159251,q14,47.22,34790230,34795549,-1.0,15
ACTG1,ENSG00000184009,q25.3,61.09,81509971,81523847,-1.0,17
ACTG2,ENSG00000163017,p13.1,45.18,73892314,73919865,1.0,2
ACTL6A,ENSG00000136518,q26.33,39.25,179562886,179588407,1.0,3
ACTL6B,ENSG00000077080,q22.1,53.08,100643097,100656448,-1.0,7
ACTL7B,ENSG00000148156,q31.3,63.4,108854588,108855986,-1.0,9
ACTL8,ENSG00000117148,p36.13,48.15,17755333,17827063,1.0,1
ACTL9,ENSG00000181786,p13.2,66.19,8697400,8698795,-1.0,19
ACTN4,ENSG00000130402,q13.2,53.0,38647649,38731589,1.0,19
ACTR1A,ENSG00000138107,q24.32,50.48,102461881,102502712,-1.0,10
ACTR1B,ENSG00000115073,q11.2,58.52,97655939,97664044,-1.0,2
ACTR2,ENSG00000138071,p14,39.48,65227753,65271253,1.0,2
ACTR3,ENSG00000115091,q14.1,36.57,113890063,113962596,1.0,2
ACTR3B,ENSG00000133627,q36.1,43.36,152759749,152855378,1.0,7
ACTR3C,ENSG00000106526,q36.1,43.31,150243916,150323725,-1.0,7
ACTR6,ENSG00000075089,q23.1,41.0,100199122,100241865,1.0,12
ACTR8,ENSG00000113812,p21.1,41.99,53867066,53882152,-1.0,3
ACTR10,ENSG00000131966,q23.1,38.67,58200080,58235636,1.0,14
ACTRT2,ENSG00000169717,p36.32,61.66,3021467,3022903,1.0,1
ACTRT3,ENSG00000184378,q26.2,48.16,169766921,169769561,-1.0,3
ACVR1,ENSG00000115170,q24.1,40.44,157736444,157876330,-1.0,2
ACVR1B,ENSG00000135503,q13.13,44.8,51951699,51997078,1.0,12
ACVR1C,ENSG00000123612,q24.1,36.82,157526767,157628864,-1.0,2
ACVR2A,ENSG00000121989,q22.3,35.46,147844517,147930826,1.0,2
ACVR2B,ENSG00000114739,p22.2,47.63,38453890,38493142,1.0,3
ACVRL1,ENSG00000139567,q13.13,54.84,51906908,51923361,1.0,12
ACY3,ENSG00000132744,q13.2,57.66,67642555,67650730,-1.0,11
ADA2,ENSG00000093072,q11.1,48.88,17178790,17258235,-1.0,22
ADAD1,ENSG00000164113,q27,36.55,122378966,122429802,1.0,4
ADAM2,ENSG00000104755,p11.22,35.02,39743735,39838289,-1.0,8
ADAM7,ENSG00000069206,p21.2,36.76,24440930,24526970,1.0,8
ADAM8,ENSG00000151651,q26.3,63.79,133262420,133276868,-1.0,10
ADAM9,ENSG00000168615,p11.22,37.48,38996869,39105261,1.0,8
ADAM10,ENSG00000137845,q21.3,37.34,58588809,58749791,-1.0,15
ADAM12,ENSG00000148848,q26.2,43.11,126012381,126388455,-1.0,10
ADAM15,ENSG00000143537,q21.3,58.25,155050566,155062775,1.0,1
ADAM17,ENSG00000151694,p25.1,41.31,9488486,9556732,-1.0,2
ADAM18,ENSG00000168619,p11.22,34.42,39584489,39730065,1.0,8
ADAM19,ENSG00000135074,q33.3,44.66,157395534,157575775,-1.0,5
ADAM21,ENSG00000139985,q24.2,39.73,70452174,70459905,1.0,14
ADAM22,ENSG00000008277,q21.12,37.29,87934143,88202889,1.0,7
ADAM28,ENSG00000042980,p21.2,35.71,24294069,24359014,1.0,8
ADAM29,ENSG00000168594,q34.1,35.73,174829668,174978180,1.0,4
ADAM30,ENSG00000134249,p12,43.98,119893533,119896515,-1.0,1
ADAM33,ENSG00000149451,p13,61.2,3667965,3682246,-1.0,20
ADAMDEC1,ENSG00000134028,p21.2,36.35,24384285,24406013,1.0,8
ADAMTS1,ENSG00000154734,q21.3,45.12,26835755,26845409,-1.0,21
ADAMTS2,ENSG00000087116,q35.3,53.88,179110853,179345461,-1.0,5
ADAMTS3,ENSG00000156140,q13.3,35.8,72280969,72569221,-1.0,4
ADAMTS4,ENSG00000158859,q23.3,51.47,161184302,161199054,-1.0,1
ADAMTS5,ENSG00000154736,q21.3,38.46,26917922,26967088,-1.0,21
ADAMTS6,ENSG00000049192,q12.3,35.91,65148738,65481920,-1.0,5
ADAMTS8,ENSG00000134917,q24.3,53.31,130404923,130428609,-1.0,11
ADAMTS9,ENSG00000163638,p14.1,40.09,64515654,64688000,-1.0,3
ADAMTS10,ENSG00000142303,p13.2,54.58,8580240,8610735,-1.0,19
ADAMTS13,ENSG00000160323,q34.2,55.14,133414358,133459402,1.0,9
ADAMTS16,ENSG00000145536,p15.32,42.24,5140330,5320304,1.0,5
ADAMTS18,ENSG00000140873,q23.1,39.74,77247813,77435034,-1.0,16
ADAMTS20,ENSG00000173157,q12,35.38,43353866,43552203,-1.0,12
ADAMTSL1,ENSG00000178031,p22.2,38.59,17906563,18910950,1.0,9
ADAMTSL2,ENSG00000197859,q34.2,59.43,133532164,133575519,1.0,9
ADAMTSL4,ENSG00000143382,q21.2,60.13,150549369,150560937,1.0,1
ADAP1,ENSG00000105963,p22.3,60.61,897900,955407,-1.0,7
ADARB2,ENSG00000185736,p15.3,47.83,1177313,1737525,-1.0,10
ADAT2,ENSG00000189007,q24.2,38.38,143422832,143450695,-1.0,6
ADCK1,ENSG00000063761,q24.3,47.62,77800109,77935014,1.0,14
ADCK2,ENSG00000133597,q34,50.77,140672945,140696261,1.0,7
ADCK5,ENSG00000173137,q24.3,57.52,144373101,144393242,1.0,8
ADCY1,ENSG00000164742,p12.3,47.64,45574140,45723116,1.0,7
ADCY2,ENSG00000078295,p15.31,40.93,7396138,7830081,1.0,5
ADCY4,ENSG00000129467,q12,54.43,24318349,24335093,-1.0,14
ADCY5,ENSG00000173175,q21.1,51.27,123282296,123449758,-1.0,3
ADCY7,ENSG00000121281,q12.1,54.43,50246137,50318135,1.0,16
ADCY8,ENSG00000155897,q24.22,40.42,130780301,131040909,-1.0,8
ADCY9,ENSG00000162104,p13.3,47.27,3953387,4116442,-1.0,16
ADCYAP1,ENSG00000141433,p11.32,52.94,904871,912172,1.0,18
ADCYAP1R1,ENSG00000078549,p14.3,51.89,31052461,31111479,1.0,7
ADD2,ENSG00000075340,p13.3,44.81,70607618,70768225,-1.0,2
ADD3,ENSG00000148700,q25.1,38.65,109996368,110135565,1.0,10
ADGRA1,ENSG00000197177,q26.3,60.33,133070929,133131675,1.0,10
ADGRA2,ENSG00000020181,p11.23,55.25,37784191,37844896,1.0,8
ADGRA3,ENSG00000152990,p15.2,39.05,22345071,22516066,-1.0,4
ADGRB1,ENSG00000181790,q24.3,62.67,142449430,142545009,1.0,8
ADGRE1,ENSG00000174837,p13.3,44.41,6887566,6940459,1.0,19
ADGRE5,ENSG00000123146,p13.12,54.66,14380501,14408725,1.0,19
ADGRF3,ENSG00000173567,p23.3,45.62,26308173,26346817,-1.0,2
ADGRG1,ENSG00000205336,q21,55.51,57610652,57665580,1.0,16
ADGRG5,ENSG00000159618,q21,47.09,57542643,57591681,1.0,16
ADGRG6,ENSG00000112414,q24.2,35.7,142301854,142446266,1.0,6
ADGRG7,ENSG00000144820,q12.2,38.02,100609601,100695479,1.0,3
ADGRL1,ENSG00000072071,p13.12,56.42,14147743,14206187,-1.0,19
ADGRL2,ENSG00000117114,p31.1,36.78,81306147,81992436,1.0,1
ADGRL3,ENSG00000150471,q13.1,35.25,61201258,62078335,1.0,4
ADGRL4,ENSG00000162618,p31.1,35.25,78889764,79282124,-1.0,1
ADGRV1,ENSG00000164199,q14.3,37.22,90529344,91164437,1.0,5
ADHFE1,ENSG00000147576,q13.1,43.48,66432492,66468907,1.0,8
ADI1,ENSG00000182551,p25.3,44.46,3497366,3519531,-1.0,2
ADIPOQ,ENSG00000181092,q27.3,43.85,186842704,186858463,1.0,3
ADIPOR2,ENSG00000006831,p13.33,39.4,1688574,1788674,1.0,12
ADIRF,ENSG00000148671,q23.2,49.56,86968432,86983934,1.0,10
ADK,ENSG00000156110,q22.2,37.43,74151202,74709963,1.0,10
ADM,ENSG00000148926,p15.4,58.97,10305073,10307397,1.0,11
ADM5,ENSG00000224420,q13.33,63.65,49688664,49690575,1.0,19
ADNP,ENSG00000101126,q13.13,41.67,50888916,50931437,-1.0,20
ADNP2,ENSG00000101544,q23,41.68,80109262,80147523,1.0,18
ADO,ENSG00000181915,q21.3,48.48,62804720,62808479,1.0,10
ADORA2A,ENSG00000128271,q11.23,59.24,24417879,24442357,1.0,22
ADPRHL1,ENSG00000153531,q34,55.43,113399610,113453524,-1.0,13
ADPRM,ENSG00000170222,p13.1,40.47,10697594,10711558,1.0,17
ADRA1A,ENSG00000120907,p21.2,41.26,26748150,26867278,-1.0,8
ADRA1D,ENSG00000171873,p13,51.78,4220630,4249287,-1.0,20
ADRA2A,ENSG00000150594,q25.2,59.71,111077029,111080907,1.0,10
ADRA2B,ENSG00000274286,q11.2,61.15,96112876,96116571,-1.0,2
ADRA2C,ENSG00000184160,p16.3,69.62,3766348,3768526,1.0,4
ADRB1,ENSG00000043591,q25.3,58.77,114043866,114046904,1.0,10
ADRB2,ENSG00000169252,q32,51.18,148825245,148828687,1.0,5
ADRM1,ENSG00000130706,q13.33,64.09,62302093,62308862,1.0,20
ADTRP,ENSG00000111863,p24.1,43.46,11712054,11807046,-1.0,6
AEBP1,ENSG00000106624,p13,62.7,44104345,44114562,1.0,7
AFAP1,ENSG00000196526,p16.1,46.39,7758714,7939926,-1.0,4
AFAP1L1,ENSG00000157510,q32,46.21,149271859,149343637,1.0,5
AFAP1L2,ENSG00000169129,q25.3,48.26,114294824,114404756,-1.0,10
AFDN,ENSG00000130396,q27,38.79,167826922,167972023,1.0,6
AFF1,ENSG00000172493,q21.3,41.19,86935002,87141054,1.0,4
AFF3,ENSG00000144218,q11.2,41.69,99545419,100192428,-1.0,2
AFG1L,ENSG00000135537,q21,39.14,108294991,108526796,1.0,6
AFG3L2,ENSG00000141385,p11.21,44.64,12328944,12377227,-1.0,18
AFM,ENSG00000079557,q13.3,36.25,73481745,73504001,1.0,4
AFMID,ENSG00000183077,q25.3,51.08,78187317,78207701,1.0,17
AFP,ENSG00000081051,q13.3,34.51,73431138,73456174,1.0,4
AFTPH,ENSG00000119844,p14,37.29,64524305,64593005,1.0,2
AGA,ENSG00000038002,q34.3,39.69,177430774,177442437,-1.0,4
AGAP2,ENSG00000135439,q14.1,57.66,57723761,57742157,-1.0,12
AGAP3,ENSG00000133612,q36.1,57.73,151085831,151144436,1.0,7
AGAP4,ENSG00000188234,q11.22,41.11,45825594,45853875,-1.0,10
AGAP5,ENSG00000172650,q22.2,42.24,73674285,73698159,-1.0,10
AGAP6,ENSG00000204149,q11.23,41.1,49982190,50010499,1.0,10
AGAP9,ENSG00000204172,q11.22,40.48,47501854,47523638,-1.0,10
AGBL2,ENSG00000165923,p11.2,44.9,47659591,47715389,-1.0,11
AGBL3,ENSG00000146856,q33,36.82,134986508,135147963,1.0,7
AGBL4,ENSG00000186094,p33,39.05,48532854,50023954,-1.0,1
AGBL5,ENSG00000084693,p23.3,48.47,27042364,27070622,1.0,2
AGFG1,ENSG00000173744,q36.3,37.09,227472152,227561214,1.0,2
AGK,ENSG00000006530,q34,39.57,141551278,141655244,1.0,7
AGMAT,ENSG00000116771,p36.21,49.29,15571699,15585051,-1.0,1
AGMO,ENSG00000187546,p21.2,34.99,15200317,15562015,-1.0,7
AGO1,ENSG00000092847,p34.3,44.84,35869808,35930532,1.0,1
AGO3,ENSG00000126070,p34.3,38.75,35930718,36072500,1.0,1
AGO4,ENSG00000134698,p34.3,41.67,35808016,35857890,1.0,1
AGPAT2,ENSG00000169692,q34.3,62.71,136673143,136687457,-1.0,9
AGPAT3,ENSG00000160216,q22.3,51.65,43865223,43987592,1.0,21
AGPAT4,ENSG00000026652,q26,45.36,161129967,161274061,-1.0,6
AGPAT5,ENSG00000155189,p23.1,38.19,6708642,6761503,1.0,8
AGPS,ENSG00000018510,q31.2,36.49,177392757,177559299,1.0,2
AGR2,ENSG00000106541,p21.1,38.42,16791811,16833433,-1.0,7
AGR3,ENSG00000173467,p21.1,35.18,16859412,16881987,-1.0,7
AGRN,ENSG00000188157,p36.33,65.71,1020120,1056118,1.0,1
AGRP,ENSG00000159723,q22.1,61.11,67482571,67483547,-1.0,16
AGT,ENSG00000135744,q42.2,53.59,230702523,230714122,-1.0,1
AGTPBP1,ENSG00000135049,q21.33,36.66,85546539,85742029,-1.0,9
AGTR2,ENSG00000180772,q23,33.63,116170744,116174974,1.0,X
AGTRAP,ENSG00000177674,p36.22,54.37,11736084,11754802,1.0,1
AGXT,ENSG00000172482,q37.3,61.77,240868824,240880502,1.0,2
AGXT2,ENSG00000113492,p13.2,42.33,34998101,35048135,-1.0,5
AHCY,ENSG00000101444,q11.22,50.38,34280268,34311802,-1.0,20
AHCYL1,ENSG00000168710,p13.3,40.92,109984765,110023742,1.0,1
AHCYL2,ENSG00000158467,q32.1,39.97,129225023,129430211,1.0,7
AHDC1,ENSG00000126705,p35.3,56.39,27534035,27604431,-1.0,1
AHNAK,ENSG00000124942,q12.3,50.05,62433542,62556235,-1.0,11
AHNAK2,ENSG00000185567,q32.33,57.29,104937244,104978374,-1.0,14
AHR,ENSG00000106546,p21.1,36.63,16916359,17346152,1.0,7
AHRR,ENSG00000063438,p15.33,51.57,321759,435110,1.0,5
AHSA1,ENSG00000100591,q24.3,46.04,77457870,77469472,1.0,14
AHSG,ENSG00000145192,q27.3,47.73,186613060,186621318,1.0,3
AHSP,ENSG00000169877,p11.2,52.32,31527900,31528803,1.0,16
AICDA,ENSG00000111732,p13.31,41.39,8602170,8612867,-1.0,12
AIDA,ENSG00000186063,q41,38.46,222668013,222713210,-1.0,1
AIF1L,ENSG00000126878,q34.12,53.82,131096476,131123152,1.0,9
AIFM2,ENSG00000042286,q22.1,50.25,70098223,70132934,-1.0,10
AIFM3,ENSG00000183773,q11.21,59.24,20965108,20981360,1.0,22
AIG1,ENSG00000146416,q24.2,39.66,143060496,143341058,1.0,6
AIM2,ENSG00000163568,q23.2,40.1,159062484,159147096,-1.0,1
AIMP1,ENSG00000164022,q24,36.63,106315544,106349456,1.0,4
AIMP2,ENSG00000106305,p22.1,46.93,6009255,6023834,1.0,7
AIPL1,ENSG00000129221,p13.2,49.33,6393693,6435199,-1.0,17
AJAP1,ENSG00000196581,p36.32,52.4,4654609,4792534,1.0,1
AJM1,ENSG00000232434,q34.3,72.67,136844415,136848801,1.0,9
AJUBA,ENSG00000129474,q11.2,52.84,22971177,22982551,-1.0,14
AK3,ENSG00000147853,p24.1,41.46,4709556,4742043,-1.0,9
AK4,ENSG00000162433,p31.3,42.62,65147549,65232145,1.0,1
AK7,ENSG00000140057,q32.2,44.18,96392128,96489427,1.0,14
AK8,ENSG00000165695,q34.13,47.94,132725578,132878777,-1.0,9
AK9,ENSG00000155085,q21,38.27,109492856,109691217,-1.0,6
AKAIN1,ENSG00000231824,p11.31,39.25,5142911,5197503,-1.0,18
AKAP1,ENSG00000121057,q22,49.96,57085092,57121346,1.0,17
AKAP3,ENSG00000111254,p13.32,38.99,4615508,4649051,-1.0,12
AKAP5,ENSG00000179841,q23.3,37.55,64465499,64474503,1.0,14
AKAP6,ENSG00000151320,q12,37.92,32329298,32837684,1.0,14
AKAP7,ENSG00000118507,q23.2,38.28,131135467,131283535,1.0,6
AKAP10,ENSG00000108599,p11.2,41.26,19904302,19978343,-1.0,17
AKAP11,ENSG00000023516,q14.11,36.45,42272152,42323261,1.0,13
AKAP12,ENSG00000131016,q25.1,43.87,151239967,151358559,1.0,6
